displacement	direction	duration
0.104576015180584	-0.0204023070132662	0.379008189367994
0.181063890071433	-0.451940098217441	0.791885195656988
0.0828574638380275	-1.02075873448574	0.288691344241983
0.165602249432457	-0.743973218230369	0.925747662540005
0.0641048021287771	0.168010109978215	0.309657754716994
0.0129404384199832	-0.297851441433731	0.441907420795019
0.117014272732002	-0.696816247145937	0.369331384532018
0.146510455166694	-0.671821365666606	0.898330048839995
0.0628090671368492	-1.04347568897926	0.472550636103989
0.0131074259621042	-2.31664325057208	0.401587400648992
0.0755057113794189	0.214596358518407	0.569318684454004
0.0600221905030194	-1.12417054695192	0.314496157134016
0.0253370471099886	1.53221330313962	0.454809827240979
0.151051181598948	-0.31322793301758	0.787046793239
0.0655804727938804	0.040827686469282	0.314496157133988
0.10359722797573	-1.41799768154722	0.611251505404994
0.0795572019322563	-0.00162736739143793	1.283789441431
0.0983981898633749	-1.30720973921968	0.980582889936983
0.0308262560925318	-0.1748836011541	0.358041778892016
0.12392085784561	0.167727744755161	0.287078543435996
0.151588545013734	-0.600035140721063	0.893491646423001
0.0369591745429204	-0.857017963690917	0.214502507173989
0.158575786863041	-0.115043607405451	0.546739473171982
0.0901054163302173	-0.84543746387122	0.737049968259015
0.126912029572398	-1.11589606489175	0.630605115075014
0.0749133757920922	-0.374943616135306	0.775757187598003
0.00613877532162972	-1.52743452718648	0.29352974665801
0.0611456473374797	-0.63043756889859	0.280627340212988
0.077273643621957	-1.4749375229818	0.643507521521997
0.0244578712048668	-0.119441314748413	0.285465742630009
0.0762596619900182	-1.57833143152089	0.925747662540005
0.0319541896658802	-1.70004092788011	0.406425803066014
0.096744389330025	-0.0869684513003054	0.743501171481995
0.0910871724473358	-1.61665562775343	0.614477107016
0.0547636883646069	-0.724000657523077	0.543513871561004
0.163030963590976	-1.19189038929802	1.06444853184001
0.0603982817026702	-2.00142889617502	0.549965074783984
0.0156049147173368	-2.28523373442115	0.862848431113008
0.0558894049755513	-1.30697280133485	0.558029078813007
0.197899437146674	-0.788033826131781	0.680601940055993
0.114415779010692	-0.233658785957616	0.601574700570012
0.106519372357814	-0.882241932184038	0.551577875589004
0.0287906280241637	-0.687231570403777	0.125798462853993
0.0511139478685148	-2.98824018734115	0.11934725962999
0.107634497858936	-0.337479752387436	0.745113972287982
0.0637038168517485	-1.11892280151181	0.519321859472996
0.0368657688790137	0.675552610098664	0.469325034492982
0.0510082638739346	-1.78234659268389	0.948326873820974
